title,source,link,date,scraped_at,title_cleaned,parties_mentioned,districts_mentioned,sentiment_score,political_relevance
അച്ഛൻ തള്ളിമാറ്റിയ കാർ മകളുടെ ദേഹത്തേക്കു മറിഞ്ഞു; കാസർകോട്ട് ഒന്നരവയസ്സുകാരിക്ക് ദാരുണാന്ത്യം,manorama,,2025-06-06,2025-06-06T00:28:49.867085,അച്ഛൻ തള്ളിമാറ്റിയ കാർ മകളുടെ ദേഹത്തേക്കു മറിഞ്ഞു കാസർകോട്ട് ഒന്നരവയസ്സുകാരിക്ക് ദാരുണാന്ത്യം,[],[],0.0,0.0
അച്ഛൻ തള്ളിമാറ്റിയ കാർ മകളുടെ ദേഹത്തേക്കു മറിഞ്ഞു; കാസർകോട്ട് ഒന്നരവയസ്സുകാരിക്ക് ദാരുണാന്ത്യം,manorama,,2025-06-06,2025-06-06T00:28:49.867085,അച്ഛൻ തള്ളിമാറ്റിയ കാർ മകളുടെ ദേഹത്തേക്കു മറിഞ്ഞു കാസർകോട്ട് ഒന്നരവയസ്സുകാരിക്ക് ദാരുണാന്ത്യം,[],[],0.0,0.0
അച്ഛൻ തള്ളിമാറ്റിയ കാർ മകളുടെ ദേഹത്തേക്കു മറിഞ്ഞു; കാസർകോട്ട് ഒന്നരവയസ്സുകാരിക്ക് ദാരുണാന്ത്യം,manorama,,2025-06-06,2025-06-06T00:28:49.867085,അച്ഛൻ തള്ളിമാറ്റിയ കാർ മകളുടെ ദേഹത്തേക്കു മറിഞ്ഞു കാസർകോട്ട് ഒന്നരവയസ്സുകാരിക്ക് ദാരുണാന്ത്യം,[],[],0.0,0.0
വെള്ളക്കെട്ട്: കുട്ടനാട് താലൂക്കിൽ വിദ്യാഭ്യാസ സ്ഥാപനങ്ങൾക്ക് നാളെ അവധി,manorama,,2025-06-06,2025-06-06T00:28:49.867085,വെള്ളക്കെട്ട് കുട്ടനാട് താലൂക്കിൽ വിദ്യാഭ്യാസ സ്ഥാപനങ്ങൾക്ക് നാളെ അവധി,[],[],0.0,0.0
വെള്ളക്കെട്ട്: കുട്ടനാട് താലൂക്കിൽ വിദ്യാഭ്യാസ സ്ഥാപനങ്ങൾക്ക് നാളെ അവധി,manorama,,2025-06-06,2025-06-06T00:28:49.867085,വെള്ളക്കെട്ട് കുട്ടനാട് താലൂക്കിൽ വിദ്യാഭ്യാസ സ്ഥാപനങ്ങൾക്ക് നാളെ അവധി,[],[],0.0,0.0
"‘ഭാരതാംബ രാജ്യത്തിന്റെ അടയാളം, ചിത്രം രാജ്ഭവനില്‍നിന്ന് മാറ്റില്ല; മന്ത്രിമാരുടെ ചിന്താഗതി എന്തുതരമെന്ന് അറിയില്ല’",manorama,,2025-06-06,2025-06-06T00:28:49.867085,ഭാരതാംബ രാജ്യത്തിന്റെ അടയാളം ചിത്രം രാജ്ഭവനില്നിന്ന് മാറ്റില്ല മന്ത്രിമാരുടെ ചിന്താഗതി എന്തുതരമെന്ന് അറിയില്ല,[],[],0.0,0.0
"‘ഭാരതാംബ രാജ്യത്തിന്റെ അടയാളം, ചിത്രം രാജ്ഭവനില്‍നിന്ന് മാറ്റില്ല; മന്ത്രിമാരുടെ ചിന്താഗതി എന്തുതരമെന്ന് അറിയില്ല’",manorama,,2025-06-06,2025-06-06T00:28:49.867085,ഭാരതാംബ രാജ്യത്തിന്റെ അടയാളം ചിത്രം രാജ്ഭവനില്നിന്ന് മാറ്റില്ല മന്ത്രിമാരുടെ ചിന്താഗതി എന്തുതരമെന്ന് അറിയില്ല,[],[],0.0,0.0
"Today's Recapഅൻവറിന് ചിഹ്നം കത്രിക, സംസ്ഥാനത്ത് ട്രോളിങ് നിരോധനം, സൗബിൻ സാഹിറിന് നോട്ടിസ് – പ്രധാനവാർത്തകൾ",manorama,,2025-06-06,2025-06-06T00:28:49.868076,Todays Recapഅൻവറിന് ചിഹ്നം കത്രിക സംസ്ഥാനത്ത് ട്രോളിങ് നിരോധനം സൗബിൻ സാഹിറിന് നോട്ടിസ്  പ്രധാനവാർത്തകൾ,[],[],0.0,0.0
"Today's Recapഅൻവറിന് ചിഹ്നം കത്രിക, സംസ്ഥാനത്ത് ട്രോളിങ് നിരോധനം, സൗബിൻ സാഹിറിന് നോട്ടിസ് – പ്രധാനവാർത്തകൾ",manorama,,2025-06-06,2025-06-06T00:28:49.868076,Todays Recapഅൻവറിന് ചിഹ്നം കത്രിക സംസ്ഥാനത്ത് ട്രോളിങ് നിരോധനം സൗബിൻ സാഹിറിന് നോട്ടിസ്  പ്രധാനവാർത്തകൾ,[],[],0.0,0.0
"‘പഴിചാരലല്ല, പരിഹാരമാണ് ആവശ്യം; ദേശീയപാതയുടെ പ്രശ്നങ്ങൾ എങ്ങനെ ശാസ്ത്രീയമായി പരിഹരിക്കും, റിപ്പോർട്ട് നൽകണം ’",manorama,,2025-06-06,2025-06-06T00:28:49.868076,പഴിചാരലല്ല പരിഹാരമാണ് ആവശ്യം ദേശീയപാതയുടെ പ്രശ്നങ്ങൾ എങ്ങനെ ശാസ്ത്രീയമായി പരിഹരിക്കും റിപ്പോർട്ട് നൽകണം,[],[],0.0,0.0
"‘പഴിചാരലല്ല, പരിഹാരമാണ് ആവശ്യം; ദേശീയപാതയുടെ പ്രശ്നങ്ങൾ എങ്ങനെ ശാസ്ത്രീയമായി പരിഹരിക്കും, റിപ്പോർട്ട് നൽകണം ’",manorama,,2025-06-06,2025-06-06T00:28:49.868076,പഴിചാരലല്ല പരിഹാരമാണ് ആവശ്യം ദേശീയപാതയുടെ പ്രശ്നങ്ങൾ എങ്ങനെ ശാസ്ത്രീയമായി പരിഹരിക്കും റിപ്പോർട്ട് നൽകണം,[],[],0.0,0.0
